ECC; Error Correction Code; RAM aus dem Serverberreich welcher 1 und 2 Bit Fehler erkennen (Hashwerte) und 1 Bit Fehler korrigieren kann.
CPU; Central Processing Unit; Das Herz des Computers.
GPU; Graphics Processing Unit; Die Grafikkarte! Krass oder?!
RAM; Random Acces Memory; "Wahlfreier" Zugriff bedeutet das jede Speicherzelle über ihre Adresse direkt angesprochen werden kann und nicht in blöcken ausgelesen werden muss. Deswegen verwendung als Arbeitsspeicher
ROM; Read Only Memory; Nicht flüchtig (Volatile) behält Daten also auch wenn kein Strom anliegt. Im normalen Betrieb nur lesender Zugriff
HDD; Hard Disc Drive; Magnetisches Speichermedium mit rotierenden Scheiben (nicht Schubsen, hat Joghurt im Rucksack!)
SSD; Solid State Drive; Speicherlaufwerk, das Flash-Speicherchips nutzt, um Daten schnell und zuverlässig zu speichern. Im Vergleich zu herkömmlichen Festplatten (HDDs) sind SSDs schneller, leiser und robuster, da sie keine beweglichen Teile haben.
PSU; Power Supply Unit; Englische bezeichnung für das Netzteil
PCIe; Peripheral Component Interconnect Express; Standart für das verbinden von Peripheriegeräten mit dem Chipsatz
SATA; Serial Advanced Technology Attachment; Serielle variante von ATA. Schnittstelle für Datenaustausch mit Speichergeräten
USB; Universal Serial Bus; Datenübertragungssystem für externe Geräte
HTTPS; Hyper Text Transfer Protocol Secure; Netzwerkprotokoll mit dem Daten abhörsicher übertragen werden können. Nutzt SSL.
